N;Beg;Mid;End;False
49200;237.450000;203.000000;223.300000;195.280000;
49300;238.740000;321.240000;219.710000;247.200000;
49400;256.440000;205.760000;222.950000;235.430000;
49500;316.880000;236.360000;208.450000;213.470000;
49600;303.730000;227.040000;230.480000;211.570000;
49700;315.110000;226.490000;258.330000;214.740000;
49800;284.210000;227.200000;320.150000;238.470000;
49900;313.070000;249.750000;214.180000;216.180000;
50000;263.120000;216.530000;236.180000;230.820000;
50100;232.240000;205.210000;201.100000;434.750000;
50200;234.710000;206.020000;230.940000;206.710000;
50300;240.120000;210.630000;201.870000;210.890000;
50400;301.840000;223.080000;227.830000;294.200000;
50500;808.730000;221.570000;206.500000;219.600000;
50600;317.070000;217.630000;234.730000;505.180000;
50700;340.660000;236.730000;276.250000;235.240000;
50800;323.390000;221.040000;230.960000;724.960000;
50900;266.320000;211.040000;208.310000;215.520000;
51000;237.930000;202.850000;230.310000;208.780000;
51100;220.010000;202.070000;201.520000;206.070000;
51200;237.380000;204.300000;595.400000;211.040000;
51300;295.220000;208.320000;197.960000;219.650000;
51400;266.590000;208.920000;224.790000;207.080000;
51500;305.030000;213.050000;200.920000;214.600000;
51600;1212.360000;219.090000;232.730000;261.040000;
51700;451.990000;238.420000;213.720000;234.820000;
51800;545.250000;553.020000;239.120000;249.700000;
51900;251.110000;468.300000;205.920000;233.590000;
52000;229.390000;208.170000;226.500000;212.520000;
52100;219.660000;204.100000;202.680000;295.820000;
52200;300.580000;238.770000;243.100000;222.810000;
52300;289.640000;447.470000;416.130000;281.270000;
52400;617.260000;212.810000;226.800000;211.270000;
52500;275.980000;212.700000;522.840000;209.090000;
52600;268.450000;223.230000;353.360000;444.370000;
52700;361.550000;218.160000;199.620000;208.780000;
52800;237.870000;219.230000;240.230000;198.480000;
52900;215.760000;205.330000;204.190000;222.200000;
53000;234.750000;198.300000;221.630000;187.360000;
53100;286.390000;222.200000;198.320000;185.560000;
53200;276.130000;216.740000;221.600000;183.460000;
53300;568.330000;618.560000;265.290000;449.020000;
53400;486.460000;228.560000;234.910000;221.450000;
53500;695.220000;211.820000;204.950000;504.570000;
53600;487.690000;218.060000;233.130000;216.500000;
53700;234.580000;203.250000;192.530000;196.960000;
53800;219.340000;193.150000;219.410000;197.280000;
53900;568.830000;210.710000;194.020000;209.930000;
54000;299.550000;217.500000;230.770000;223.640000;
54100;305.640000;209.830000;196.980000;213.740000;
54200;392.170000;238.250000;607.690000;213.960000;
54300;338.020000;219.890000;204.830000;212.690000;
54400;309.180000;236.260000;237.380000;210.420000;
54500;268.790000;224.360000;282.540000;232.550000;
54600;251.060000;210.540000;232.080000;223.390000;
54700;236.530000;208.300000;203.930000;212.030000;
54800;321.230000;225.430000;240.000000;219.570000;
54900;571.910000;224.520000;208.580000;222.090000;
55000;434.770000;225.830000;401.250000;224.390000;
55100;313.220000;256.460000;524.400000;222.730000;
55200;295.260000;220.120000;235.150000;238.360000;
55300;492.370000;218.200000;210.040000;221.190000;
55400;383.060000;216.400000;232.440000;236.130000;
55500;239.340000;215.380000;212.290000;219.220000;
55600;284.120000;213.100000;231.450000;216.340000;
55700;394.150000;223.770000;478.080000;267.150000;
55800;302.030000;235.810000;243.940000;228.330000;
55900;308.180000;235.260000;290.110000;218.310000;
56000;294.510000;217.290000;234.540000;218.050000;
56100;259.280000;266.040000;206.780000;214.110000;
56200;267.080000;210.050000;245.050000;226.230000;
56300;230.260000;227.390000;219.370000;212.770000;
56400;279.960000;221.090000;237.690000;222.960000;
56500;294.460000;212.600000;202.160000;212.450000;
56600;353.050000;227.660000;305.430000;223.680000;
56700;300.800000;240.500000;215.450000;210.410000;
56800;327.430000;231.880000;231.670000;196.880000;
56900;346.330000;227.500000;217.790000;197.610000;
57000;241.220000;213.030000;234.390000;232.510000;
57100;246.770000;207.770000;202.770000;198.380000;
57200;421.940000;227.010000;295.260000;186.150000;
57300;540.330000;296.180000;249.720000;190.710000;
57400;321.140000;221.310000;223.080000;497.730000;
57500;427.420000;234.760000;215.840000;358.470000;
57600;286.890000;222.920000;235.120000;196.500000;
57700;264.700000;210.400000;203.530000;247.350000;
57800;230.810000;205.550000;228.400000;226.570000;
57900;240.950000;208.800000;205.210000;213.410000;
